sku,model_code,capacity_class,published_kw,published_btu,kw_times_3412_btu,difference_percent,decision,source_pdf_page,source_printed_page
FCF50CVM-RZA50DV2V,FCF50CVM/RZA50DV2V,50,5.0,17100,17060.00,0.2345,CONSISTENT_WITH_CONVERSION,59,116|117
FCF50CVM-RZF50DVM,FCF50CVM/RZF50DVM,50,5.0,17100,17060.00,0.2345,CONSISTENT_WITH_CONVERSION,55,108|109
FCF60CVM-RZA60DV2V,FCF60CVM/RZA60DV2V,60,6.0,20500,20472.00,0.1368,CONSISTENT_WITH_CONVERSION,59,116|117
FCF60CVM-RZF60DVM,FCF60CVM/RZF60DVM,60,6.0,20500,20472.00,0.1368,CONSISTENT_WITH_CONVERSION,55,108|109
FCF71CVM-RZA71DV1,FCF71CVM/RZA71DV1,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,59,116|117
FCF71CVM-RZF71DVM,FCF71CVM/RZF71DVM,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,55,108|109
FCF71CVM-RZF71DYM,FCF71CVM/RZF71DYM,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,55,108|109
FCFC100DVM-RZFC100EVM,FCFC100DVM/RZFC100EVM,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,61,120|121
FCFC100DVM-RZFC100EY1,FCFC100DVM/RZFC100EY1,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,61,120|121
FCFC125DVM-RZFC125EY1,FCFC125DVM/RZFC125EY1,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,61,120|121
FCFC140DVM-RZFC140EY1,FCFC140DVM/RZFC140EY1,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,61,120|121
FCFC40DVM-RZFC40EVM,FCFC40DVM/RZFC40EVM,40,4.0,13600,13648.00,-0.3517,CONSISTENT_WITH_CONVERSION,61,120|121
FCFC50DVM-RZFC50EVM,FCFC50DVM/RZFC50EVM,50,5.0,17100,17060.00,0.2345,CONSISTENT_WITH_CONVERSION,61,120|121
FCFC60DVM-RZFC60EVM,FCFC60DVM/RZFC60EVM,60,6.0,20500,20472.00,0.1368,CONSISTENT_WITH_CONVERSION,61,120|121
FCFC71DVM-RZFC71EVM,FCFC71DVM/RZFC71EVM,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,61,120|121
FCFC71DVM-RZFC71EY1,FCFC71DVM/RZFC71EY1,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,61,120|121
FCFC85DVM-RZFC85EVM,FCFC85DVM/RZFC85EVM,85,8.5,29000,29002.00,-0.0069,CONSISTENT_WITH_CONVERSION,61,120|121
FCFC85DVM-RZFC85EY1,FCFC85DVM/RZFC85EY1,85,8.5,29000,29002.00,-0.0069,CONSISTENT_WITH_CONVERSION,61,120|121
FCFG100AV1V-RZFC100AV19,FCFG100AV1V/RZFC100AV19,100,10.55,36000,35996.60,0.0094,CONSISTENT_WITH_CONVERSION,61,120|121
FCFG125AV1V-RZFC125AY19,FCFG125AV1V/RZFC125AY19,125,12.31,42000,42001.72,-0.0041,CONSISTENT_WITH_CONVERSION,61,120|121
FCFG140AV1V-RZFC140AY19,FCFG140AV1V/RZFC140AY19,101040,14.07,48000,48006.84,-0.0142,CONSISTENT_WITH_CONVERSION,61,120|121
FCFG50AV1V-RZFC50AV1V,FCFG50AV1V/RZFC50AV1V,50,5.42,18500,18493.04,0.0376,CONSISTENT_WITH_CONVERSION,61,120|121
FCFG60AV1V-RZFC60AGV19,FCFG60AV1V/RZFC60AGV19,60,6.0,20500,20472.00,0.1368,CONSISTENT_WITH_CONVERSION,61,120|121
FCFG71AV1V-RZFC71AGV19,FCFG71AV1V/RZFC71AGV19,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,61,120|121
FCFG85AV1V-RZFC85AGV19,FCFG85AV1V/RZFC85AGV19,85,8.79,30000,29991.48,0.0284,CONSISTENT_WITH_CONVERSION,61,120|121
FCNQ13MV1-RNQ13MV1,FCNQ13MV1/RNQ13MV1,13,3.8,13000,12965.60,0.2653,CONSISTENT_WITH_CONVERSION,64,126|127
FCNQ18MV1-RNQ18MV19,FCNQ18MV1/RNQ18MV19,18,5.3,18000,18083.60,-0.4623,CONSISTENT_WITH_CONVERSION,64,126|127
FCNQ21MV1-RNQ21MV19,FCNQ21MV1/RNQ21MV19,21,6.2,21000,21154.40,-0.7299,CONSISTENT_WITH_CONVERSION,64,126|127
FCNQ26MV1-RNQ26MV19,FCNQ26MV1/RNQ26MV19,26,7.6,26000,25931.20,0.2653,CONSISTENT_WITH_CONVERSION,64,126|127
FCNQ26MV1-RNQ26MY1,FCNQ26MV1/RNQ26MY1,26,7.6,26000,25931.20,0.2653,CONSISTENT_WITH_CONVERSION,64,126|127
